epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.32200574518545816,4.5000000000000003e-07,4.730169011533407,9.72481107711792,0.787,0.973,0.939,0.622,0.9288,0.8646
1,0.2494708001613617,9.100000000000001e-07,5.254395264230024,8.754575490951538,0.807,0.981,0.945,0.6616,0.9462,0.8918
2,0.20413778139197308,1.3700000000000002e-06,5.19076472218922,8.861892700195312,0.821,0.983,0.955,0.6836,0.958,0.9076
3,0.16315251831775127,1.8300000000000003e-06,5.219477734044514,8.8131422996521,0.838,0.986,0.961,0.6968,0.9618,0.9154
4,0.1447700832201087,2.2900000000000005e-06,5.259974058084308,8.745290279388428,0.835,0.983,0.965,0.7026,0.9642,0.92
5,0.1419342874508837,2.7500000000000004e-06,5.347968007319481,8.60139775276184,0.827,0.991,0.964,0.7058,0.9664,0.9212
6,0.11233237256174503,3.21e-06,5.396826378947044,8.52352786064148,0.816,0.984,0.963,0.708,0.9644,0.9234
7,0.1113141267357961,3.67e-06,5.314738733815138,8.655176162719727,0.829,0.989,0.968,0.7048,0.9628,0.9256
8,0.09447009306724953,4.13e-06,5.257432945843161,8.74951720237732,0.826,0.986,0.971,0.716,0.9634,0.926
9,0.09450904186815023,4.59e-06,5.256057421569877,8.75180697441101,0.835,0.984,0.969,0.7084,0.9632,0.9238
10,0.09550059100855952,4.998251761970997e-06,5.385242094198341,8.541862964630127,0.83,0.99,0.97,0.7148,0.9684,0.9218
11,0.09287278829952297,4.820287471297598e-06,5.291513321155101,8.693165302276611,0.823,0.99,0.965,0.7144,0.9648,0.9248
12,0.08093670781944758,4.370322686513818e-06,5.22594778716015,8.802231073379517,0.816,0.988,0.962,0.7076,0.9656,0.9266
13,0.06280657665237137,3.7011054594483447e-06,5.259020620242736,8.746875762939453,0.831,0.991,0.965,0.7204,0.9646,0.925
14,0.06183716806623599,2.8910861626005774e-06,5.377866345050509,8.55357813835144,0.842,0.993,0.968,0.714,0.9664,0.9306
15,0.06670457472943742,2.035220982092714e-06,5.306478578354946,8.668648958206177,0.826,0.993,0.971,0.7184,0.9668,0.9296
16,0.05546476768896631,1.2338404825076936e-06,5.328362426107691,8.633046388626099,0.832,0.992,0.967,0.7186,0.967,0.9326
17,0.04965982294600943,5.808881491049723e-07,5.3405101859795225,8.613409280776978,0.833,0.995,0.971,0.724,0.9686,0.9316
18,0.051840507708813835,1.5290766861003476e-07,5.369666134583429,8.566640615463257,0.835,0.993,0.973,0.7264,0.969,0.933
19,0.05344857771516494,6.993734682547715e-11,5.3994839624499384,8.519332647323608,0.834,0.994,0.973,0.727,0.9696,0.9326
20,,,,,0.834,0.994,0.973,0.727,0.9696,0.9326
