epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.5267469779304836,4.4e-07,1.7656523134917599,13.026347160339355,0.784,0.975,0.933,0.6124,0.9228,0.8568
1,0.4220134991666545,9.000000000000001e-07,1.8928442734053856,12.151026010513306,0.802,0.979,0.946,0.6518,0.9398,0.8852
2,0.32635852564936096,1.3600000000000001e-06,1.8773120642506307,12.251559257507324,0.817,0.983,0.953,0.6764,0.953,0.9004
3,0.2741192449694094,1.8200000000000002e-06,1.887696739944779,12.184160470962524,0.827,0.98,0.961,0.6878,0.9574,0.91
4,0.2672177261632422,2.28e-06,1.8849156597428103,12.202137470245361,0.821,0.982,0.963,0.6916,0.9604,0.916
5,0.25146657811558765,2.7400000000000004e-06,1.8827318816779546,12.216290712356567,0.839,0.987,0.962,0.7012,0.9632,0.9194
6,0.22434396134770435,3.2000000000000003e-06,1.892690563382194,12.152012825012207,0.842,0.988,0.965,0.7032,0.963,0.9232
7,0.20195707290068918,3.6600000000000005e-06,1.8831444260958328,12.213614463806152,0.844,0.989,0.972,0.7104,0.9626,0.9244
8,0.1758250597378482,4.12e-06,1.8958964879619633,12.131464004516602,0.835,0.99,0.968,0.7154,0.965,0.9258
9,0.1614542469058348,4.580000000000001e-06,1.87489727507936,12.267338752746582,0.842,0.988,0.971,0.7204,0.965,0.927
10,0.15820532454096753,5.04e-06,1.9063685230862712,12.064823627471924,0.841,0.991,0.974,0.722,0.967,0.9298
11,0.14422076325053754,5.500000000000001e-06,1.8871034390750887,12.18799114227295,0.849,0.987,0.962,0.7168,0.9658,0.9244
12,0.13955466724608256,5.9600000000000005e-06,1.890323154972318,12.167231798171997,0.85,0.993,0.971,0.7192,0.9652,0.9256
13,0.11404109227916469,6.42e-06,1.8917719805580993,12.157913446426392,0.833,0.987,0.968,0.726,0.9674,0.9238
14,0.11943575270150018,6.880000000000001e-06,1.8955961836084176,12.13338589668274,0.834,0.988,0.972,0.7158,0.9674,0.9274
15,0.11829027371562045,7.34e-06,1.8823581200425508,12.218716382980347,0.849,0.989,0.973,0.7194,0.9662,0.9276
16,0.11153634022111478,7.8e-06,1.8763213377892751,12.258028268814087,0.836,0.99,0.973,0.7226,0.9644,0.9266
17,0.10534572909059732,8.26e-06,1.877725745352697,12.248860120773315,0.843,0.987,0.964,0.7098,0.9628,0.927
18,0.10273414250949155,8.72e-06,1.8852494679933396,12.199976921081543,0.837,0.988,0.974,0.7066,0.9636,0.9246
19,0.1098439489369807,9.18e-06,1.8922043074763897,12.15513563156128,0.83,0.99,0.969,0.7088,0.9642,0.9248
20,,,,,0.83,0.99,0.969,0.7088,0.9642,0.9248
