epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.6278108902599501,4.4e-07,4.118441765491588,5.584636449813843,0.75,0.973,0.932,0.565,0.9058,0.8286
1,0.5249244272708893,9.000000000000001e-07,5.021412250125263,4.580384731292725,0.766,0.977,0.948,0.6062,0.928,0.8576
2,0.41166529318560724,1.3600000000000001e-06,5.05061542289883,4.553900480270386,0.777,0.978,0.94,0.6358,0.941,0.879
3,0.35660133154495904,1.8200000000000002e-06,5.109393755913442,4.50151252746582,0.78,0.981,0.948,0.65,0.9484,0.8886
4,0.3546193974173587,2.28e-06,5.114319624300604,4.497176885604858,0.785,0.983,0.943,0.6606,0.951,0.8956
5,0.33563042205312976,2.7400000000000004e-06,4.820601829469241,4.771188497543335,0.798,0.982,0.948,0.664,0.9552,0.8962
6,0.29629165193308954,3.2000000000000003e-06,5.216377682884289,4.409189939498901,0.799,0.983,0.953,0.6684,0.9556,0.9038
7,0.29803769096084265,3.6600000000000005e-06,5.088890451507516,4.519649267196655,0.808,0.987,0.958,0.6732,0.9564,0.9064
8,0.2803692733464034,4.12e-06,5.210940052712772,4.413790941238403,0.8,0.99,0.963,0.6724,0.9578,0.911
9,0.2731239957653958,4.580000000000001e-06,4.644869464900343,4.95169997215271,0.801,0.988,0.957,0.677,0.9592,0.9124
10,0.25911695736905804,5.04e-06,4.796800733683982,4.794862508773804,0.811,0.988,0.961,0.6782,0.9606,0.913
11,0.2337762933710347,5.500000000000001e-06,4.955700139559358,4.641120195388794,0.802,0.988,0.964,0.6806,0.96,0.9132
12,0.25408627611139545,5.9600000000000005e-06,4.774921594344518,4.816833019256592,0.807,0.99,0.961,0.681,0.9602,0.9158
13,0.2229202538728714,6.42e-06,4.747656585964684,4.8444952964782715,0.812,0.988,0.96,0.6786,0.9584,0.913
14,0.20755050493323285,6.880000000000001e-06,4.79390619429641,4.797757625579834,0.81,0.986,0.962,0.6842,0.9596,0.9128
15,0.20935808608065481,7.34e-06,4.859892965368707,4.732614517211914,0.802,0.99,0.959,0.6862,0.9574,0.915
16,0.19628082021423007,7.8e-06,4.860237466418945,4.732279062271118,0.805,0.99,0.96,0.6854,0.9592,0.9152
17,0.17484095789816068,8.26e-06,4.859171801498718,4.733316898345947,0.803,0.988,0.964,0.6844,0.9562,0.9152
18,0.171444998163244,8.72e-06,4.795087139081049,4.796576023101807,0.81,0.992,0.968,0.6836,0.9566,0.914
19,0.17385291988434998,9.18e-06,4.761247942689513,4.8306663036346436,0.808,0.987,0.963,0.6798,0.9588,0.9108
20,,,,,0.808,0.987,0.963,0.6798,0.9588,0.9108
