epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.557305757118308,4.4e-07,3.994543645638248,5.757854223251343,0.764,0.972,0.925,0.5956,0.914,0.8406
1,0.4971851499184318,9.000000000000001e-07,5.094707358630956,4.514488935470581,0.783,0.971,0.934,0.6212,0.9284,0.8654
2,0.3982041419848152,1.3600000000000001e-06,5.0339106066862325,4.569012403488159,0.78,0.974,0.94,0.6414,0.9412,0.8826
3,0.3559909028851468,1.8200000000000002e-06,5.2264674719025,4.400677919387817,0.798,0.976,0.941,0.656,0.9472,0.8944
4,0.34904859636140906,2.28e-06,4.7999089266600885,4.791757583618164,0.796,0.98,0.947,0.6624,0.952,0.9002
5,0.32785669293092645,2.7400000000000004e-06,5.071582878216181,4.535073280334473,0.799,0.982,0.954,0.6666,0.9558,0.9026
6,0.2918645098157551,3.2000000000000003e-06,5.193903745895228,4.4282684326171875,0.8,0.979,0.958,0.672,0.9574,0.9064
7,0.29202929203924927,3.6600000000000005e-06,5.068584598067077,4.537755966186523,0.804,0.981,0.962,0.6764,0.957,0.9094
8,0.2741994430189547,4.12e-06,4.917551872634738,4.6771240234375,0.804,0.983,0.96,0.6746,0.959,0.913
9,0.2709342843812445,4.580000000000001e-06,4.888213541207458,4.705195426940918,0.804,0.984,0.961,0.6812,0.96,0.9138
10,0.25794481129749963,5.04e-06,4.851958983191385,4.740353345870972,0.813,0.987,0.964,0.6818,0.9612,0.9134
11,0.23319193656029907,5.500000000000001e-06,5.022967913068579,4.57896614074707,0.8,0.99,0.967,0.685,0.9612,0.9146
12,0.2539141067992086,5.9600000000000005e-06,4.963255064996323,4.6340556144714355,0.807,0.988,0.961,0.6854,0.9594,0.9158
13,0.222025438171366,6.42e-06,4.899419508964046,4.694433689117432,0.802,0.988,0.968,0.6826,0.9596,0.9144
14,0.20857075634210007,6.880000000000001e-06,4.810502853146185,4.78120493888855,0.814,0.984,0.963,0.6878,0.959,0.9126
15,0.20771428813105045,7.34e-06,4.76916458412124,4.822647571563721,0.794,0.984,0.965,0.6868,0.9568,0.9154
16,0.1916385659057161,7.8e-06,4.745675103565222,4.846518039703369,0.796,0.988,0.963,0.6866,0.959,0.914
17,0.17434854708288028,8.26e-06,4.788551831390782,4.803122282028198,0.8,0.99,0.963,0.6864,0.9568,0.912
18,0.16967160740624304,8.72e-06,4.923098027167906,4.6718549728393555,0.809,0.992,0.968,0.6866,0.9558,0.9116
19,0.17157340568044913,9.18e-06,4.874068014851233,4.71885085105896,0.796,0.987,0.963,0.6716,0.9574,0.9114
20,,,,,0.796,0.987,0.963,0.6716,0.9574,0.9114
