epoch,train_loss,lr,steps_per_sec,elapsed_sec,i2t@1,i2t@10,i2t@5,t2i@1,t2i@10,t2i@5
0,0.6015967078830885,4.4e-07,3.9745900447901055,5.786760330200195,0.75,0.961,0.926,0.5876,0.9104,0.8388
1,0.5140033001485078,9.000000000000001e-07,4.988228753346548,4.6108551025390625,0.765,0.97,0.93,0.6128,0.9258,0.8602
2,0.41054775144742883,1.3600000000000001e-06,4.893548706511029,4.700065612792969,0.775,0.973,0.937,0.6332,0.939,0.877
3,0.35780186108920886,1.8200000000000002e-06,5.097236441536988,4.512248992919922,0.791,0.976,0.945,0.6502,0.947,0.8876
4,0.35379630975101306,2.28e-06,4.878744065552961,4.714328050613403,0.792,0.978,0.947,0.6626,0.9516,0.8974
5,0.33146224786405976,2.7400000000000004e-06,5.122294778056087,4.490175008773804,0.796,0.982,0.948,0.6646,0.9554,0.8988
6,0.29824056573536084,3.2000000000000003e-06,5.115802899900928,4.495872974395752,0.795,0.98,0.952,0.671,0.9574,0.9036
7,0.2924268459496291,3.6600000000000005e-06,5.0629531028244195,4.5428032875061035,0.803,0.981,0.957,0.6762,0.9578,0.9102
8,0.2782035482966382,4.12e-06,5.094779467998488,4.514425039291382,0.805,0.98,0.961,0.6776,0.958,0.9138
9,0.2745883263971495,4.580000000000001e-06,4.999728010295805,4.600250244140625,0.806,0.982,0.957,0.68,0.9592,0.9142
10,0.25949100048645685,5.04e-06,5.07505376419887,4.53197169303894,0.807,0.98,0.965,0.6828,0.96,0.915
11,0.23152847912000574,5.500000000000001e-06,4.938727399467409,4.657070159912109,0.801,0.986,0.967,0.6868,0.9594,0.9142
12,0.25075322260027344,5.9600000000000005e-06,4.858495140069103,4.733976125717163,0.808,0.986,0.968,0.6848,0.9602,0.917
13,0.22104638037474258,6.42e-06,4.9045303142491035,4.689541816711426,0.812,0.985,0.962,0.6842,0.9604,0.9144
14,0.20782482429690982,6.880000000000001e-06,5.0807882208749735,4.5268566608428955,0.807,0.985,0.959,0.6868,0.9614,0.916
15,0.2078741957312045,7.34e-06,4.830982309165567,4.760936498641968,0.795,0.986,0.962,0.6888,0.9576,0.915
16,0.19065114013526752,7.8e-06,4.841901602818179,4.750199794769287,0.791,0.984,0.962,0.6846,0.9566,0.9152
17,0.17267538639514343,8.26e-06,4.988073999034536,4.610998153686523,0.801,0.99,0.959,0.6876,0.9568,0.9146
18,0.1662996965258018,8.72e-06,4.8645369383423205,4.7280964851379395,0.818,0.991,0.967,0.6866,0.9556,0.912
19,0.1688774409501449,9.18e-06,5.266043723631295,4.367605209350586,0.793,0.987,0.964,0.6762,0.9582,0.9106
20,,,,,0.793,0.987,0.964,0.6762,0.9582,0.9106
